Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
Sorry, the tape's just run out.,Désolé, le ruban a juste fini.,8207d9b2.jpeg,0.5885,0.6212,0.4258,0.4483,0.201
They checked the seal.,Ils ont vérifié le sceau.,8b12aebf.jpeg,0.661,0.6822,0.4162,0.2947,0.0868
They checked the seal.,Ils ont vérifié le phoque.,59364b5.jpeg,0.5683,0.6002,0.3822,0.4143,0.1716
Why is the chair here?,Pourquoi cette chaise est-elle là ?,2caf5d9.jpeg,0.6927,0.7715,0.3949,0.5144,0.2646
Why is the chair here?,Pourquoi cette chaise est-elle ici ?,ef02ac2.jpeg,0.7176,0.7682,0.6041,0.6679,0.4461
There must be a hole in the tank somewhere.,Il doit y avoir un trou quelque part dans l'aquarium.,22f9dcb.jpeg,0.6141,0.6446,0.4332,0.4107,0.1687
There must be a hole in the tank somewhere.,Il doit y avoir un trou quelque part dans la cuve.,acb5659.jpeg,0.6787,0.7358,0.4397,0.4886,0.2387
We're going to have to do without the poker then.,Il faudra donc se passer des cartes alors.,c0816da.jpeg,0.4728,0.4888,0.3763,0.4074,0.166
We're going to have to do without the poker then.,Il faudra donc se passer du tison.,32da2f5.jpeg,0.4398,0.4443,0.395,0.3173,0.1007
I don't give a damn about the cup.,Je me fiche de ce trophée.,2f05055.jpeg,0.5076,0.5163,0.4618,0.4374,0.1913
I don't give a damn about the cup.,Je me fiche de la tasse.,247987b2.jpeg,0.5817,0.6115,0.4617,0.4984,0.2484
The fans were still out of order.,Les supporters étaient encore en émoi.,0316663.jpeg,0.5568,0.5542,0.5745,0.3784,0.1432
The fans were still out of order.,Les ventilateurs étaient encore hors d'ordre.,657c4a7.jpeg,0.6972,0.7439,0.5353,0.5369,0.2883
I don't think we should use a brush.,Je ne pense pas que nous devrions utiliser une brosse.,189049b.jpeg,0.7204,0.7832,0.4409,0.4739,0.2246
I don't think we should use a brush.,Je ne pense pas qu'on devrait utiliser un pinceau.,ff78fc7.jpeg,0.685,0.7475,0.3913,0.4611,0.2126
There's the horn.,Voilà la trompe.,ed2221a.jpeg,0.4606,0.4477,0.4957,0.6072,0.3686
There's the horn.,Voilà le cor.,7d6fbfa.jpeg,0.3565,0.3448,0.4051,0.4899,0.24
Can you not see the red light?,Ne vois-tu pas le feu rouge ?,7241ebd.jpeg,0.5633,0.5947,0.4679,0.5736,0.3291
Can you not see the red light?,Ne vois-tu pas la lumière rouge ?,fb2edd5.jpeg,0.5724,0.6269,0.3872,0.543,0.2948
I know - good job there are showers.,Je sais, c'est bien qu'il y ait de la neige.,a78f616.jpeg,0.4785,0.4811,0.4612,0.3834,0.147
I know - good job there are showers.,C'est bien qu'il y ait des douches.,3a1b985.jpeg,0.526,0.5268,0.5214,0.4062,0.165
Like a bat?,Comme un chauve-souris ?,e40843b.jpeg,0.5532,0.5796,0.4685,0.5581,0.3115
Like a bat?,Comme une batte ?,c239573.jpeg,0.5083,0.5053,0.5244,0.4337,0.1881
You should use a fork.,On peut utiliser une fourchette.,1aea2b4.jpeg,0.5978,0.6173,0.5227,0.5087,0.2587
You should use a fork.,Avec une fourche, il prend un café.,bbad554.jpeg,0.4949,0.4822,0.5685,0.4159,0.173
What a beautiful bass!,Quelle belle basse !,a96afbd.jpeg,0.5649,0.6017,0.4612,0.5952,0.3543
What a beautiful bass!,Quel magnifique bars !,3165ef6.jpeg,0.4097,0.4243,0.3464,0.4807,0.231
A biker on the road.,Un motard sur la route.,4ercqd74.jpeg,0.74,0.7807,0.6561,0.6966,0.4852
A biker on the road.,Un cycliste sur la route.,d56edd34.jpeg,0.77,0.7581,0.7935,0.7107,0.5051
That's lots of bucks!,Il y a beaucoup de cerfs!,bee3626.jpeg,0.5291,0.5148,0.6231,0.3895,0.1517
That's lots of bucks!,Ça fait beaucoup d'argent !,7c4e078.jpeg,0.6133,0.6444,0.509,0.546,0.2981
A person looking at a rock.,Une personne regardant un rocher.,d052f05f.jpeg,0.7807,0.8505,0.5877,0.6013,0.3616
A person looking at a rock.,Une personne regardant un rocher.,118a75ff.jpeg,0.7792,0.8505,0.4757,0.4847,0.2349
The lamp is tall and elegant.,La lampe est haute et élégante.,5a43462.jpeg,0.777,0.8632,0.5546,0.6222,0.3872
The lamp is tall and elegant.,La lampe est haute et élégante.,ffda480.jpeg,0.7824,0.8632,0.4236,0.4744,0.225
Give me the file please.,Donnez-moi le dossier, s'il vous plaît.,e740816.jpeg,0.4853,0.4968,0.4326,0.467,0.2181
Give me the file please.,Je me coupe l'ongle.,c47d9e24.jpeg,0.2462,0.2126,0.5201,0.3503,0.1227
The tube looks dirty!,Le métro a l'air sale !,27b9b32.jpeg,0.5441,0.5439,0.5455,0.3563,0.127
The tube looks dirty!,Le tube a l'air sale !,2535cf5.jpeg,0.7363,0.8116,0.37,0.4535,0.2057
An animal sitting in a palm.,Un animal perché dans un palmier.,a9c0ad02.jpeg,0.7718,0.817,0.6551,0.6227,0.3878
An animal sitting in a palm.,Un animal assis dans une paume.,638a4049.jpeg,0.8019,0.8653,0.5179,0.4722,0.223
Show me the ring!,Montre-moi la bague !,32962fc.jpeg,0.5404,0.5798,0.4228,0.5784,0.3346
Show me the ring!,Montrez-moi le ring !,f4217ff.jpeg,0.5741,0.5942,0.4407,0.3886,0.151
A man with a hat is smoking.,Un homme avec un bonnet fume.,ee1f6c9.jpeg,0.8211,0.8658,0.7436,0.7598,0.5772
A man with a hat is smoking.,Un homme avec un chapeau fume.,33fbe77.jpeg,0.8242,0.8897,0.7028,0.7344,0.5394
A group of boys playing football.,Un groupe de jeunes qui jouent au football.,787678e.jpeg,0.7197,0.7882,0.5312,0.6031,0.3638
A group of boys playing football.,Un groupe de garçons jouant au football.,2db1e17.jpeg,0.7867,0.8534,0.6202,0.6325,0.4001
Get away from the float!,Éloignez-vous du flotteur !,a021362.jpeg,0.5805,0.623,0.3914,0.4741,0.2248
Get away from the float!,Éloignez-vous du char !,48a50026.jpeg,0.4543,0.4801,0.3177,0.4354,0.1896
A woman is folding sheets.,Une femme plie des feuilles.,c82c823d.jpg,0.6755,0.7265,0.4365,0.4618,0.2132
A woman is folding sheets.,Une femme plie des draps.,a5ee9d0.jpeg,0.7304,0.795,0.5027,0.5331,0.2841
A boy using a compass.,Un garçon utilisant une boussole.,00112e3.jpeg,0.7552,0.8454,0.4783,0.5708,0.3258
A boy using a compass.,Un garçon utilisant une paire de compas.,edbb25a2.jpeg,0.701,0.775,0.4115,0.5056,0.2557
Could you fix the sink please?,Pourriez-vous réparer le robinet, s'il vous plaît ?,d8d0a9b.jpeg,0.5505,0.5964,0.418,0.5886,0.3465
Could you fix the sink please?,Pourriez-vous réparer le lavabo, s'il vous plaît ?,3ab2469.jpeg,0.5669,0.6067,0.462,0.6158,0.3792
Look at the balloon!,Regarde le ballon !,d33f4b4.jpeg,0.5867,0.6307,0.4633,0.597,0.3564
Look at the balloon!,Regarde le ballon !,58aace5.jpeg,0.5847,0.6307,0.4385,0.5612,0.315
He seems to be enjoying the date!,Il semble apprécier le rendez-vous !,9e36a43.jpeg,0.5773,0.6006,0.4828,0.497,0.247
He seems to be enjoying the date!,Il semble apprécier le dattes !,34965040.jpeg,0.5553,0.5585,0.5323,0.374,0.1399
Don't eat the bones!,Ne mange pas les os !,5957d5c.jpeg,0.5654,0.5937,0.4118,0.4294,0.1844
Don't eat the bones!,Ne mange pas les os !,49ea273.jpeg,0.5669,0.5937,0.444,0.4667,0.2178
Great, it's cricket season!,Super, c'est la saison de cricket !,8d852883.jpeg,0.4246,0.4185,0.4569,0.4366,0.1906
Great, it's cricket season!,Super, c'est la saison des sauterelles !,b25981e4.jpeg,0.3822,0.3855,0.3564,0.3577,0.128
We've got another jam I'm afraid.,On dirait qu'il y a encore un bourrage.,75ddacf3.jpeg,0.4261,0.4304,0.3709,0.279,0.0779
We've got another jam I'm afraid.,Il y a encore un embouteillage, malheureusement.,fbe7b91d.jpeg,0.4397,0.4202,0.6128,0.3352,0.1124
Yes, it's his bar.,Oui, c'est son bar.,51d84e9f.jpeg,0.7001,0.7637,0.4817,0.5394,0.291
Yes, it's his bar.,Oui, c'est sa barre.,cd40761f.jpeg,0.678,0.7202,0.45,0.43,0.1849
A minister is making a speech while holding a book.,Une ministre fait un discours tout en tenant un livre.,2139a010.jpeg,0.7628,0.7927,0.6934,0.6562,0.4306
A minister is making a speech while holding a book.,Une ministre fait un discours tout en tenant un livre.,1c56342c.jpeg,0.7334,0.7927,0.6289,0.7529,0.5668
He set about repairing his drawers.,Il s'est mis à réparer son caleçon.,18289856.jpeg,0.5542,0.5684,0.4082,0.3109,0.0966
He set about repairing his drawers.,Il s'est mis à réparer ses tiroirs.,9655583e.jpeg,0.6288,0.6669,0.4175,0.4248,0.1804
Do you know where my pants are?,Savez-vous où sont mes pantalons ?,e7b25b62.jpeg,0.552,0.594,0.3819,0.4966,0.2466
Do you know where my pants are?,Savez-vous où sont mes chaussettes ?,0f0d614f.jpeg,0.4854,0.5142,0.332,0.4331,0.1876
Did you make the table?,Je dois attendre que la maîtresse m'interroge pour prendre la parole.,98064330.png,0.3351,0.2738,0.7079,0.4056,0.1645
Did you make the table?,Avez-vous fabriqué la table ?,ef36615f.jpeg,0.5316,0.5401,0.4513,0.3243,0.1052
Give me the bill.,Donnez-moi le ticket.,67f4273e.jpeg,0.5567,0.5553,0.5624,0.5042,0.2542
Give me the bill.,Donnez-moi le billet.,3cdf263f.jpeg,0.5302,0.5455,0.4494,0.4341,0.1884
I always remove the skin before eating.,J'enlève toujours la peau avant de manger.,10024f9c.jpeg,0.662,0.719,0.4327,0.4988,0.2488
I always remove the skin before eating.,J'épluche toujours avant de manger.,6d3f6275.jpeg,0.6172,0.6489,0.5173,0.5631,0.3171
It's pool time!,C'est l'heure de la piscine !,945eaafe.jpeg,0.5866,0.604,0.5393,0.6068,0.3683
It's pool time!,C'est l'heure du billard !,f8f08662.jpeg,0.5027,0.4904,0.5621,0.4552,0.2072
The wheel seems to be blocked somehow.,La roue semble être bloquée d'une manière ou d'une autre.,62601802.jpeg,0.7662,0.8389,0.5595,0.593,0.3516
The wheel seems to be blocked somehow.,La roue semble être bloquée d'une manière ou d'une autre.,d25f8b00.jpeg,0.7589,0.8389,0.4672,0.5233,0.2739
Your punch is amazing!,Votre punch est incroyable !,ca74d696.jpeg,0.6874,0.7478,0.4345,0.4889,0.239
Your punch is amazing!,Ton coup est incroyable !,33a17046.jpeg,0.2375,0.244,0.1858,0.3567,0.1273
My husband bought a chopper recently.,Mon mari a acheté une chopper récemment.,b83a0d52.jpeg,0.7038,0.768,0.4158,0.4719,0.2227
My husband bought a chopper recently.,Mon mari a acheté un hélicoptère récemment.,cf615703.jpeg,0.6168,0.6342,0.4595,0.3326,0.1106
You bought a new scarf, didn't you?,Tu as acheté un nouveau foulard, n'est-ce pas ?,bd7e6fd1.jpeg,0.6849,0.7477,0.411,0.4784,0.2289
You bought a new scarf, didn't you?,Tu as acheté un nouveau foulard, n'est-ce pas ?,f36df8d4.jpeg,0.6714,0.7477,0.4392,0.5728,0.3281
We are under the canopy.,Nous sommes sous la canopée.,275d8d87.jpeg,0.6673,0.721,0.3942,0.4437,0.1968
We are under the canopy.,Nous sommes sous la pergola.,417a2e1b.jpeg,0.6703,0.7081,0.5254,0.511,0.2611
The dummies need to be cleaned.,Les tétines doivent être nettoyées.,860e2fac.jpeg,0.4631,0.4627,0.4668,0.3439,0.1182
The dummies need to be cleaned.,Il faut nettoyer les mannequins.,1b2e7f19.jpeg,0.5055,0.508,0.4876,0.3762,0.1415
He wants to show me his spot.,Il veut me montrer son spot.,dd57e9c4.jpeg,0.7105,0.7469,0.3057,0.2997,0.0898
He wants to show me his spot.,Il veut me montrer sa bouton.,37b65d2c.jpeg,0.638,0.6599,0.271,0.2441,0.0596
Have you seen my pin?,Avez-vous vu ma broche ?,aca94558.jpeg,0.6367,0.6589,0.4055,0.3095,0.0958
Have you seen my pin?,As-tu vu mon punaise ?,b764bfff.jpeg,0.5973,0.6297,0.3156,0.3394,0.1152
The scale is broken.,La balance est cassée.,28b179a0.jpeg,0.6804,0.6872,0.6652,0.6701,0.449
The scale is broken.,L'écailles sont abîmées.,a42e8405.jpeg,0.509,0.5148,0.4305,0.2731,0.0746
Someone should clean the window.,Il faudrait nettoyer la vitrine.,c0d48044.jpeg,0.5501,0.5735,0.3991,0.3931,0.1546
Someone should clean the window.,Il faut nettoyer la fenêtre.,2baa9a21.jpeg,0.6344,0.6567,0.5608,0.5514,0.304
Don't let the kids play in the yard!,Ne laissez pas les enfants jouer dans la cour !,58d45ce7.jpeg,0.7137,0.7496,0.2794,0.2874,0.0826
Don't let the kids play in the yard!,Ne laissez pas les enfants jouer dans la cour !,b685970b.jpeg,0.7057,0.7496,0.3342,0.3436,0.1181
The plug has stopped working, could you fix it?,Le bouchon ne fonctionne plus, pourriez-vous le réparer ?,15ff842a.jpeg,0.5968,0.622,0.443,0.405,0.164
The plug has stopped working, could you fix it?,La prise ne fonctionne plus, pourriez-vous la réparer ?,7f021dbf.jpeg,0.5327,0.5802,0.3583,0.5223,0.2728
That's a small stone you have there.,C'est un petit caillou que tu as là.,834c9575.jpeg,0.6062,0.6309,0.5237,0.5472,0.2994
That's a small stone you have there.,C'est un petit noyau que vous avez là.,94e1e71f.jpeg,0.4346,0.4403,0.4014,0.4165,0.1735
I dropped a clip on the floor but I'm not sure where.,J'ai laissé tomber une agrafe par terre, mais je ne sais plus où.,0899e541.jpeg,0.62,0.6531,0.4301,0.4178,0.1746
I dropped a clip on the floor but I'm not sure where.,J'ai laissé tomber une pince par terre, mais je ne sais plus où.,407421d6.jpeg,0.6103,0.6449,0.3436,0.3602,0.1298
Hand me the dough!,Passe-moi la pâte !,3221b8a2.jpeg,0.4505,0.4752,0.3632,0.5317,0.2827
Hand me the dough!,Donne-moi le fric !,a32d69d2.jpeg,0.3267,0.3113,0.4017,0.4523,0.2046
You need to get rid of the ashes.,Il faut enlever les cendres.,0a13492f.jpeg,0.6017,0.6401,0.3857,0.4215,0.1776
You need to get rid of the ashes.,Il faut se débarrasser des cendres.,1cb7d406.jpeg,0.6255,0.6699,0.3934,0.4373,0.1912
She's got a bun in the oven.,Elle attend un enfant.,acce2bc9.jpeg,0.4802,0.5124,0.1888,0.3323,0.1104
She's got a bun in the oven.,Elle attend un enfant.,46dbc605.jpeg,0.5315,0.5124,0.6079,0.5,0.25
He's got balls!,Il a des balles !,2655a11f.jpeg,0.593,0.6045,0.5287,0.4226,0.1786
He's got balls!,Il a du courage !,6daef42a.jpeg,0.4407,0.4456,0.4033,0.3615,0.1307
Don't mess with the controller!,Ne touchez pas au contrôleur !,2f851ed7.jpeg,0.5662,0.596,0.2727,0.3182,0.1012
Don't mess with the controller!,Ne touche pas aux manettes !,229d48e1.jpeg,0.5303,0.558,0.3835,0.4343,0.1886
The deer was just looking straight at me.,Le cerf me regardait droit dans les yeux.,6bd69bcb.jpeg,0.7091,0.7497,0.6223,0.6842,0.4681
The deer was just looking straight at me.,Le faon me regardait droit dans les yeux.,b2ccd0d9.jpeg,0.6306,0.6463,0.5968,0.6815,0.4645
A doe in the field.,Une biche dans le champ.,cfd47eb7.jpeg,0.7324,0.7607,0.6834,0.7588,0.5758
A doe in the field.,Une biche dans le champ.,6476789.jpeg,0.7081,0.7607,0.5061,0.5102,0.2603
Don't look at the fly!,Il y a une mouche sur la feuille.,b256d36e.jpeg,0.4218,0.371,0.7058,0.4228,0.1788
Don't look at the fly!,Ne regarde pas le volant !,e11c1505.jpeg,0.5469,0.5685,0.2936,0.2922,0.0854
He bought his own plane.,Il s'est acheté son propre avion.,57c4057c.jpeg,0.753,0.8194,0.4543,0.4713,0.2221
He bought his own plane.,Il a acheté sa propre raboteuse.,488a2f83.jpeg,0.6583,0.6821,0.3704,0.2874,0.0826
Look at her face, she has a flush!,Regarde son visage, elle a rougi !,77e96961.jpeg,0.6112,0.6374,0.5422,0.6157,0.379
Look at her face, she has a flush!,Regarde son visage, elle a une couleur !,e4889d27.jpeg,0.5634,0.5947,0.2217,0.3029,0.0917
Your gum doesn't look good!,Vos gencives n'ont pas l'air bonnes !,8ac8d99a.jpeg,0.6542,0.6864,0.5433,0.5387,0.2902
Your gum doesn't look good!,Ta gomme n'a pas l'air bonne !,cb6326ed.jpeg,0.4704,0.5051,0.3644,0.5719,0.3271
It must be the spirits!,Ce doivent être les esprits !,9f4d432f.jpeg,0.4819,0.5095,0.3671,0.4905,0.2406
It must be the spirits!,Ce doivent être les spiritueux !,bf89c490.jpeg,0.4766,0.4841,0.4456,0.493,0.243
The soles were stinky.,Les soles étaient malodorantes.,2c7ba1fd.jpeg,0.653,0.683,0.3602,0.3197,0.1022
The soles were stinky.,Les semelles sentaient mauvais.,ac7df394.jpeg,0.6248,0.6633,0.4287,0.4428,0.196
A person with a yellow jacket is waiting for something.,Une personne avec une veste jaune attend quelque chose.,c7d1e8b3.jpeg,0.7904,0.8566,0.6136,0.6116,0.374
A person with a yellow jacket is waiting for something.,Un homme avec un gilet jaune attend quelque chose.,41fe2d75.jpeg,0.7656,0.8004,0.6698,0.6032,0.3639
I appear to have lost a couple of pounds.,J'ai l'air d'avoir perdu quelques kilos.,024779eb.jpeg,0.6567,0.6996,0.4723,0.4824,0.2327
I appear to have lost a couple of pounds.,On dirait que j'ai perdu quelques livres.,413aebc3.jpeg,0.5982,0.6382,0.2811,0.3551,0.1261
You really need to give the pipes a good clean every now and then.,Il faudrait vraiment nettoyer ces tuyaux de temps en temps.,deae3d1c.jpeg,0.6052,0.643,0.461,0.5119,0.262
You really need to give the pipes a good clean every now and then.,Il faudrait vraiment nettoyer les cornemuses de temps en temps.,aced3462.jpeg,0.5117,0.5265,0.3926,0.3522,0.1241
This wedge is all rotten.,Ce coin est tout pourri.,d31ef202.jpeg,0.482,0.5129,0.3654,0.5151,0.2653
This wedge is all rotten.,Cette pomme de terre est toute pourrie.,c4a03333.jpeg,0.5053,0.525,0.4096,0.454,0.2061
His shoe just fell off in the field.,Sa chaussure vient de tomber sur le terrain.,60f2ad42.jpeg,0.7036,0.735,0.5933,0.533,0.2841
His shoe just fell off in the field.,Son fer à cheval vient de se détacher dans le champ.,25f73d6a.jpeg,0.5051,0.5223,0.4167,0.4417,0.1951
Give me his record, please.,Veuillez-lui donner son dossier, s'il vous plaît.,7f61ac4f.jpeg,0.3772,0.3771,0.3779,0.3743,0.1401
Give me his record, please.,Donnez-moi son disque, s'il vous plaît.,973a12ea.jpeg,0.5184,0.5248,0.4804,0.4124,0.1701
That's a wonderful train, isn't it?,C'est un magnifique train, n'est-ce pas ?,9e1a414c.jpeg,0.6843,0.7378,0.5075,0.5501,0.3026
That's a wonderful train, isn't it?,Quelle belle traîne, n'est-ce pas ?,cc4316b3.jpeg,0.4849,0.4928,0.4092,0.3238,0.1049
Have you seen the ruler?,Avez-vous vu la règle ?,082e6875.jpeg,0.5769,0.6313,0.3477,0.4876,0.2377
Have you seen the ruler?,Avez-vous vu le roi ?,e4887243.jpeg,0.5279,0.5396,0.4384,0.3619,0.131
Look under the hood!,Regardez sous le capot !,076f318e.jpeg,0.5339,0.548,0.4767,0.4959,0.2459
Look under the hood!,Jette un coup d'œil sous le capot !,4302100d.jpeg,0.5226,0.5374,0.3973,0.3436,0.1181
Subway? It's your call.,Subway ? C'est à vous de choisir.,1e3b0ca8.jpeg,0.755,0.8256,0.5286,0.5585,0.3119
Subway? It's your call.,C'est votre choix.,570a6334.jpeg,0.3634,0.3653,0.3543,0.4643,0.2156
What is that sign? I've never seen it before.,Je t'aime.,e3229bf5.jpeg,0.2922,0.2455,0.5731,0.4074,0.166
What is that sign? I've never seen it before.,Traversée d'engins militaires,207966ae.jpeg,0.3898,0.2816,0.6892,0.6011,0.3613
Look, he has a leg injury.,Regarde, il a une blessure à la patte.,67de15f9.jpeg,0.6753,0.7171,0.4,0.3898,0.1519
Look, he has a leg injury.,Regarde, il a une blessure à la jambe.,f98d9c9f.jpeg,0.6985,0.7467,0.4983,0.4906,0.2407
He is an experienced rider.,C'est un cavalier expérimenté.,6d077744.jpeg,0.5945,0.6177,0.4983,0.4909,0.241
He is an experienced rider.,C'est un motard expérimenté.,8f6ff93a.jpeg,0.6037,0.6332,0.4962,0.5233,0.2739
Last weekend, we went to the racetrack.,Le week-end dernier, nous sommes allés au circuit.,86a567a8.jpeg,0.6061,0.6621,0.4099,0.5341,0.2853
Last weekend, we went to the racetrack.,Le week-end dernier, nous sommes allés au champ de courses.,c1ba9bc9.jpeg,0.6311,0.7072,0.383,0.5538,0.3067
Wow, the model is beautiful!,Wow, quel beau modèle !,ade009ad.jpeg,0.7559,0.8229,0.363,0.413,0.1705
Wow, the model is beautiful!,Wow, le mannequin est magnifique !,46f204b2.jpeg,0.7595,0.8153,0.3947,0.3911,0.1529
The dock is made of wood and is relatively sturdy.,Le socle est en bois et est relativement robuste.,527d027b.jpeg,0.6028,0.6345,0.4979,0.5496,0.3021
The dock is made of wood and is relatively sturdy.,La jetée est en bois et semble relativement solide.,4a366ec6.jpeg,0.7434,0.7728,0.6879,0.7282,0.5303
Why do I get the impression he really likes drills?,J'ai l'impression qu'il aime vraiment les exercices physiques.,68c433ba.jpeg,0.449,0.448,0.457,0.3581,0.1282
Why do I get the impression he really likes drills?,On dirait qu'il aime vraiment les perceuses.,912b8ee3.jpeg,0.4528,0.4547,0.4402,0.395,0.1561
He is sitting on the trunk.,Il est assis sur le tronc.,335b3281.jpeg,0.6871,0.7194,0.4695,0.3856,0.1487
He is sitting on the trunk.,Il est assis sur le coffre.,a5f72754.jpeg,0.7165,0.7675,0.4054,0.4049,0.164
The ball lasted a really long time, well worth the money!,Le bal a duré très longtemps, ça valait vraiment le coup !,20217a1a.jpeg,0.542,0.5452,0.5003,0.2756,0.076
The ball lasted a really long time, well worth the money!,Le ballon a duré très longtemps, ça valait vraiment le coup !,c623d53b.jpeg,0.6653,0.7152,0.4358,0.4662,0.2174
He took the lead.,Il a pris l'initiative.,b5c98a9e.jpeg,0.5191,0.5429,0.3976,0.4417,0.1951
He took the lead.,Il a pris la tête.,6f82a941.jpeg,0.6084,0.6386,0.493,0.5118,0.262
Have you got any coke?,Tu as du Coca ?,264ae5e9.jpeg,0.5255,0.5357,0.4794,0.4695,0.2204
Have you got any coke?,Tu as du coke ?,115bec66.jpeg,0.5285,0.5471,0.4022,0.3833,0.147
This dog's muzzle is weird.,Le museau de ce chien est étrange.,b7320652.jpeg,0.6924,0.7667,0.517,0.651,0.4237
This dog's muzzle is weird.,Le museau de ce chien est bizarre.,4fd8f02b.jpeg,0.7029,0.7559,0.5575,0.6039,0.3647
Can you not hear the roar?,Ne peux-tu pas entendre le rugissement ?,450cdf0d.jpeg,0.6353,0.6921,0.4176,0.511,0.2611
