Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
A man with a hat is smoking.,Un homme avec un chapeau fume.,33fbe77.jpeg,0.8242,0.8897,0.7028,0.7344,0.5394
A group of boys playing football.,Un groupe de garçons jouant au football.,787678e.jpeg,0.7725,0.8534,0.5503,0.6031,0.3638
A group of boys playing football.,Un groupe de garçons jouant au football.,2db1e17.jpeg,0.7867,0.8534,0.6202,0.6325,0.4001
Get away from the float!,Éloignez-vous du flotteur !,a021362.jpeg,0.5805,0.623,0.3914,0.4741,0.2248
Get away from the float!,Éloignez-vous du flotteur !,48a50026.jpeg,0.5776,0.623,0.3379,0.4354,0.1896
A woman is folding sheets.,Une femme pliant des draps.,c82c823d.jpg,0.7188,0.7969,0.3524,0.4618,0.2132
A woman is folding sheets.,Une femme pliant des draps.,a5ee9d0.jpeg,0.7311,0.7969,0.4994,0.5331,0.2841
A boy using a compass.,Un garçon qui utilise une boussole.,00112e3.jpeg,0.7654,0.8579,0.4818,0.5708,0.3258
A boy using a compass.,Un garçon qui utilise une boussole.,edbb25a2.jpeg,0.7704,0.8579,0.4283,0.5056,0.2557
Could you fix the sink please?,Pouvez-vous réparer l'évier s'il vous plaît ?,d8d0a9b.jpeg,0.6155,0.6834,0.4193,0.5886,0.3465
Could you fix the sink please?,Pouvez-vous réparer l'évier s'il vous plaît ?,3ab2469.jpeg,0.6136,0.6834,0.4294,0.6158,0.3792
Look at the balloon!,Regardez le ballon !,d33f4b4.jpeg,0.6107,0.6557,0.4846,0.597,0.3564
Look at the balloon!,Regardez le ballon !,58aace5.jpeg,0.6103,0.6557,0.4664,0.5612,0.315
He seems to be enjoying the date!,Il a l'air d'apprécier le rendez-vous !,9e36a43.jpeg,0.7054,0.7552,0.5036,0.497,0.247
He seems to be enjoying the date!,Il a l'air d'apprécier le rendez-vous !,34965040.jpeg,0.7103,0.7552,0.3892,0.374,0.1399
Don't eat the bones!,Ne mange pas les os !,5957d5c.jpeg,0.5654,0.5937,0.4118,0.4294,0.1844
Don't eat the bones!,Ne mange pas les os !,49ea273.jpeg,0.5669,0.5937,0.444,0.4667,0.2178
Great, it's cricket season!,Super, c'est la saison du cricket !,8d852883.jpeg,0.4249,0.4195,0.4532,0.4366,0.1906
Great, it's cricket season!,Super, c'est la saison du cricket !,b25981e4.jpeg,0.3997,0.4195,0.2448,0.3577,0.128
We've got another jam I'm afraid.,J'en ai bien peur.,75ddacf3.jpeg,0.3903,0.3999,0.2664,0.279,0.0779
We've got another jam I'm afraid.,J'en ai bien peur.,fbe7b91d.jpeg,0.3879,0.3999,0.281,0.3352,0.1124
Yes, it's his bar.,Oui, c'est son bar.,51d84e9f.jpeg,0.7001,0.7637,0.4817,0.5394,0.291
Yes, it's his bar.,Oui, c'est son bar.,cd40761f.jpeg,0.7062,0.7637,0.3952,0.43,0.1849
A minister is making a speech while holding a book.,Un ministre fait un discours tout en tenant un livre.,2139a010.jpeg,0.8006,0.8647,0.6516,0.6562,0.4306
A minister is making a speech while holding a book.,Un ministre fait un discours tout en tenant un livre.,1c56342c.jpeg,0.7864,0.8647,0.6482,0.7529,0.5668
He set about repairing his drawers.,Il s'est mis à réparer ses tiroirs.,18289856.jpeg,0.6379,0.6669,0.3383,0.3109,0.0966
He set about repairing his drawers.,Il s'est mis à réparer ses tiroirs.,9655583e.jpeg,0.6288,0.6669,0.4175,0.4248,0.1804
Do you know where my pants are?,Tu sais où est mon pantalon ?,e7b25b62.jpeg,0.5933,0.6467,0.377,0.4966,0.2466
Do you know where my pants are?,Tu sais où est mon pantalon ?,0f0d614f.jpeg,0.6017,0.6467,0.3622,0.4331,0.1876
Did you make the table?,Tu as fait la table ?,98064330.png,0.5471,0.5776,0.3617,0.4056,0.1645
Did you make the table?,Tu as fait la table ?,ef36615f.jpeg,0.5541,0.5776,0.3304,0.3243,0.1052
Give me the bill.,Donne-moi la facture.,67f4273e.jpeg,0.5436,0.5748,0.4207,0.5042,0.2542
Give me the bill.,Donne-moi la facture.,3cdf263f.jpeg,0.5337,0.5748,0.3152,0.4341,0.1884
I always remove the skin before eating.,J'enlève toujours la peau avant de manger.,10024f9c.jpeg,0.662,0.719,0.4327,0.4988,0.2488
I always remove the skin before eating.,J'enlève toujours la peau avant de manger.,6d3f6275.jpeg,0.6685,0.719,0.509,0.5631,0.3171
It's pool time!,C'est l'heure de la piscine !,945eaafe.jpeg,0.5866,0.604,0.5393,0.6068,0.3683
It's pool time!,C'est l'heure de la piscine !,f8f08662.jpeg,0.5738,0.604,0.428,0.4552,0.2072
The wheel seems to be blocked somehow.,La roue semble bloquée d'une manière ou d'une autre.,62601802.jpeg,0.7657,0.8436,0.5443,0.593,0.3516
The wheel seems to be blocked somehow.,La roue semble bloquée d'une manière ou d'une autre.,d25f8b00.jpeg,0.7597,0.8436,0.4537,0.5233,0.2739
Your punch is amazing!,Ton coup de poing est incroyable !,ca74d696.jpeg,0.3808,0.4097,0.2601,0.4889,0.239
Your punch is amazing!,Ton coup de poing est incroyable !,33a17046.jpeg,0.4101,0.4097,0.4137,0.3567,0.1273
My husband bought a chopper recently.,Mon mari a acheté un hélicoptère récemment.,b83a0d52.jpeg,0.5688,0.6342,0.2752,0.4719,0.2227
My husband bought a chopper recently.,Mon mari a acheté un hélicoptère récemment.,cf615703.jpeg,0.6168,0.6342,0.4595,0.3326,0.1106
You bought a new scarf, didn't you?,Tu as acheté une nouvelle écharpe, n'est-ce pas ?,bd7e6fd1.jpeg,0.6947,0.7748,0.345,0.4784,0.2289
You bought a new scarf, didn't you?,Tu as acheté une nouvelle écharpe, n'est-ce pas ?,f36df8d4.jpeg,0.6893,0.7748,0.4288,0.5728,0.3281
We are under the canopy.,Nous sommes sous la verrière.,275d8d87.jpeg,0.5852,0.6284,0.3657,0.4437,0.1968
We are under the canopy.,Nous sommes sous la verrière.,417a2e1b.jpeg,0.5772,0.6284,0.381,0.511,0.2611
The dummies need to be cleaned.,Les mannequins doivent être nettoyés.,860e2fac.jpeg,0.4839,0.5071,0.2878,0.3439,0.1182
The dummies need to be cleaned.,Les mannequins doivent être nettoyés.,1b2e7f19.jpeg,0.5117,0.5071,0.5444,0.3762,0.1415
He wants to show me his spot.,Il veut me montrer sa place.,dd57e9c4.jpeg,0.6374,0.6687,0.2894,0.2997,0.0898
He wants to show me his spot.,Il veut me montrer sa place.,37b65d2c.jpeg,0.6434,0.6687,0.2184,0.2441,0.0596
Have you seen my pin?,Vous avez vu mon épingle ?,aca94558.jpeg,0.5396,0.5607,0.3187,0.3095,0.0958
Have you seen my pin?,Vous avez vu mon épingle ?,b764bfff.jpeg,0.5385,0.5607,0.3459,0.3394,0.1152
The scale is broken.,L'échelle est cassée.,28b179a0.jpeg,0.6798,0.7504,0.5228,0.6701,0.449
The scale is broken.,L'échelle est cassée.,a42e8405.jpeg,0.7178,0.7504,0.2807,0.2731,0.0746
Someone should clean the window.,Quelqu'un devrait nettoyer la fenêtre.,c0d48044.jpeg,0.7507,0.8055,0.3962,0.3931,0.1546
Someone should clean the window.,Quelqu'un devrait nettoyer la fenêtre.,2baa9a21.jpeg,0.755,0.8055,0.5889,0.5514,0.304
Don't let the kids play in the yard!,Ne laissez pas les enfants jouer dans la cour !,58d45ce7.jpeg,0.7137,0.7496,0.2794,0.2874,0.0826
Don't let the kids play in the yard!,Ne laissez pas les enfants jouer dans la cour !,b685970b.jpeg,0.7057,0.7496,0.3342,0.3436,0.1181
The plug has stopped working, could you fix it?,La prise a cessé de fonctionner, tu peux la réparer ?,15ff842a.jpeg,0.5569,0.5866,0.3758,0.405,0.164
The plug has stopped working, could you fix it?,La prise a cessé de fonctionner, tu peux la réparer ?,7f021dbf.jpeg,0.546,0.5866,0.3969,0.5223,0.2728
That's a small stone you have there.,C'est une petite pierre que vous avez là.,834c9575.jpeg,0.6417,0.6627,0.5718,0.5472,0.2994
That's a small stone you have there.,C'est une petite pierre que vous avez là.,94e1e71f.jpeg,0.6221,0.6627,0.3882,0.4165,0.1735
I dropped a clip on the floor but I'm not sure where.,J'ai laissé un clip sur le sol, mais je ne sais pas où.,0899e541.jpeg,0.6616,0.7072,0.4003,0.4178,0.1746
I dropped a clip on the floor but I'm not sure where.,J'ai laissé un clip sur le sol, mais je ne sais pas où.,407421d6.jpeg,0.6638,0.7072,0.3289,0.3602,0.1298
Hand me the dough!,Donne-moi l'argent !,3221b8a2.jpeg,0.2827,0.2734,0.3153,0.5317,0.2827
Hand me the dough!,Donne-moi l'argent !,a32d69d2.jpeg,0.3122,0.2734,0.5015,0.4523,0.2046
You need to get rid of the ashes.,Vous devez vous débarrasser des cendres.,0a13492f.jpeg,0.6286,0.6804,0.3369,0.4215,0.1776
You need to get rid of the ashes.,Vous devez vous débarrasser des cendres.,1cb7d406.jpeg,0.6301,0.6804,0.3667,0.4373,0.1912
She's got a bun in the oven.,Elle a un pain dans le four.,acce2bc9.jpeg,0.5313,0.5421,0.4341,0.3323,0.1104
She's got a bun in the oven.,Elle a un pain dans le four.,46dbc605.jpeg,0.5073,0.5421,0.3684,0.5,0.25
He's got balls!,Il a des couilles !,2655a11f.jpeg,0.591,0.612,0.4729,0.4226,0.1786
He's got balls!,Il a des couilles !,6daef42a.jpeg,0.5918,0.612,0.4371,0.3615,0.1307
Don't mess with the controller!,Ne gâche pas le contrôleur !,2f851ed7.jpeg,0.5733,0.6004,0.3056,0.3182,0.1012
Don't mess with the controller!,Ne gâche pas le contrôleur !,229d48e1.jpeg,0.5809,0.6004,0.4775,0.4343,0.1886
The deer was just looking straight at me.,Le cerf me regardait tout droit.,6bd69bcb.jpeg,0.6875,0.7346,0.5867,0.6842,0.4681
The deer was just looking straight at me.,Le cerf me regardait tout droit.,b2ccd0d9.jpeg,0.683,0.7346,0.572,0.6815,0.4645
A doe in the field.,Une biche sur le terrain.,cfd47eb7.jpeg,0.6595,0.676,0.6308,0.7588,0.5758
A doe in the field.,Une biche sur le terrain.,6476789.jpeg,0.634,0.676,0.4726,0.5102,0.2603
Don't look at the fly!,Ne regarde pas la mouche !,b256d36e.jpeg,0.5887,0.6216,0.4047,0.4228,0.1788
Don't look at the fly!,Ne regarde pas la mouche !,e11c1505.jpeg,0.595,0.6216,0.2836,0.2922,0.0854
He bought his own plane.,Il a acheté son propre avion.,57c4057c.jpeg,0.7781,0.8467,0.4693,0.4713,0.2221
He bought his own plane.,Il a acheté son propre avion.,488a2f83.jpeg,0.8052,0.8467,0.303,0.2874,0.0826
Look at her face, she has a flush!,Regarde son visage, elle a une bouffée de chaleur !,77e96961.jpeg,0.5965,0.631,0.5055,0.6157,0.379
Look at her face, she has a flush!,Regarde son visage, elle a une bouffée de chaleur !,e4889d27.jpeg,0.5949,0.631,0.2005,0.3029,0.0917
Your gum doesn't look good!,Ton chewing-gum n'a pas l'air bien !,8ac8d99a.jpeg,0.5269,0.5801,0.3434,0.5387,0.2902
Your gum doesn't look good!,Ton chewing-gum n'a pas l'air bien !,cb6326ed.jpeg,0.5598,0.5801,0.4977,0.5719,0.3271
It must be the spirits!,Ça doit être les esprits !,9f4d432f.jpeg,0.6404,0.7058,0.3688,0.4905,0.2406
It must be the spirits!,Ça doit être les esprits !,bf89c490.jpeg,0.6318,0.7058,0.3276,0.493,0.243
The soles were stinky.,Les semelles étaient puantes.,2c7ba1fd.jpeg,0.6379,0.6695,0.3286,0.3197,0.1022
The soles were stinky.,Les semelles étaient puantes.,ac7df394.jpeg,0.6316,0.6695,0.4381,0.4428,0.196
A person with a yellow jacket is waiting for something.,Une personne avec une veste jaune attend quelque chose.,c7d1e8b3.jpeg,0.7904,0.8566,0.6136,0.6116,0.374
A person with a yellow jacket is waiting for something.,Une personne avec une veste jaune attend quelque chose.,41fe2d75.jpeg,0.7904,0.8566,0.6086,0.6032,0.3639
I appear to have lost a couple of pounds.,J'ai perdu quelques kilos.,024779eb.jpeg,0.5725,0.5957,0.473,0.4824,0.2327
I appear to have lost a couple of pounds.,J'ai perdu quelques kilos.,413aebc3.jpeg,0.5635,0.5957,0.3077,0.3551,0.1261
You really need to give the pipes a good clean every now and then.,Vous avez vraiment besoin de donner aux tuyaux un bon nettoyage de temps en temps.,deae3d1c.jpeg,0.6367,0.6929,0.422,0.5119,0.262
You really need to give the pipes a good clean every now and then.,Vous avez vraiment besoin de donner aux tuyaux un bon nettoyage de temps en temps.,aced3462.jpeg,0.649,0.6929,0.2948,0.3522,0.1241
This wedge is all rotten.,Ce coin est pourri.,d31ef202.jpeg,0.4828,0.5113,0.3753,0.5151,0.2653
This wedge is all rotten.,Ce coin est pourri.,c4a03333.jpeg,0.4794,0.5113,0.325,0.454,0.2061
His shoe just fell off in the field.,Sa chaussure vient de tomber sur le terrain.,60f2ad42.jpeg,0.7036,0.735,0.5933,0.533,0.2841
His shoe just fell off in the field.,Sa chaussure vient de tomber sur le terrain.,25f73d6a.jpeg,0.6895,0.735,0.4561,0.4417,0.1951
Give me his record, please.,Donnez-moi son dossier, s'il vous plaît.,7f61ac4f.jpeg,0.5016,0.5202,0.3689,0.3743,0.1401
Give me his record, please.,Donnez-moi son dossier, s'il vous plaît.,973a12ea.jpeg,0.4968,0.5202,0.3595,0.4124,0.1701
That's a wonderful train, isn't it?,C'est un train merveilleux, n'est-ce pas ?,9e1a414c.jpeg,0.6756,0.7193,0.5312,0.5501,0.3026
That's a wonderful train, isn't it?,C'est un train merveilleux, n'est-ce pas ?,cc4316b3.jpeg,0.6808,0.7193,0.3141,0.3238,0.1049
Have you seen the ruler?,Avez-vous vu le chef ?,082e6875.jpeg,0.4879,0.5345,0.2918,0.4876,0.2377
Have you seen the ruler?,Avez-vous vu le chef ?,e4887243.jpeg,0.51,0.5345,0.3229,0.3619,0.131
Look under the hood!,Regarde sous le capot !,076f318e.jpeg,0.5358,0.5518,0.4706,0.4959,0.2459
Look under the hood!,Regarde sous le capot !,4302100d.jpeg,0.5257,0.5518,0.3045,0.3436,0.1181
Subway? It's your call.,C'est à vous de décider.,1e3b0ca8.jpeg,0.3654,0.3713,0.3463,0.5585,0.3119
Subway? It's your call.,C'est à vous de décider.,570a6334.jpeg,0.3653,0.3713,0.3373,0.4643,0.2156
What is that sign? I've never seen it before.,C'est quoi ce signe ?,e3229bf5.jpeg,0.584,0.6159,0.3921,0.4074,0.166
What is that sign? I've never seen it before.,C'est quoi ce signe ?,207966ae.jpeg,0.6053,0.6159,0.5761,0.6011,0.3613
Look, he has a leg injury.,Il a une blessure à la jambe.,67de15f9.jpeg,0.5817,0.6014,0.452,0.3898,0.1519
Look, he has a leg injury.,Il a une blessure à la jambe.,f98d9c9f.jpeg,0.5959,0.6014,0.5729,0.4906,0.2407
He is an experienced rider.,C'est un cavalier expérimenté.,6d077744.jpeg,0.5945,0.6177,0.4983,0.4909,0.241
He is an experienced rider.,C'est un cavalier expérimenté.,8f6ff93a.jpeg,0.5689,0.6177,0.3907,0.5233,0.2739
Last weekend, we went to the racetrack.,Le week-end dernier, nous sommes allés sur le circuit.,86a567a8.jpeg,0.6241,0.6861,0.4064,0.5341,0.2853
Last weekend, we went to the racetrack.,Le week-end dernier, nous sommes allés sur le circuit.,c1ba9bc9.jpeg,0.6048,0.6861,0.3396,0.5538,0.3067
Wow, the model is beautiful!,Wow, le modèle est magnifique !,ade009ad.jpeg,0.8018,0.8789,0.3499,0.413,0.1705
Wow, the model is beautiful!,Wow, le modèle est magnifique !,46f204b2.jpeg,0.8111,0.8789,0.3676,0.3911,0.1529
The dock is made of wood and is relatively sturdy.,Le quai est en bois et est relativement robuste.,527d027b.jpeg,0.6977,0.761,0.4882,0.5496,0.3021
The dock is made of wood and is relatively sturdy.,Le quai est en bois et est relativement robuste.,4a366ec6.jpeg,0.7146,0.761,0.6271,0.7282,0.5303
Why do I get the impression he really likes drills?,Pourquoi j'ai l'impression qu'il aime vraiment les exercices ?,68c433ba.jpeg,0.6202,0.6552,0.3472,0.3581,0.1282
Why do I get the impression he really likes drills?,Pourquoi j'ai l'impression qu'il aime vraiment les exercices ?,912b8ee3.jpeg,0.6075,0.6552,0.3019,0.395,0.1561
He is sitting on the trunk.,Il est assis sur le coffre.,335b3281.jpeg,0.7174,0.7675,0.3807,0.3856,0.1487
He is sitting on the trunk.,Il est assis sur le coffre.,a5f72754.jpeg,0.7165,0.7675,0.4054,0.4049,0.164
The ball lasted a really long time, well worth the money!,La balle a duré très longtemps, bien vaut l'argent!,20217a1a.jpeg,0.6225,0.6505,0.2533,0.2756,0.076
The ball lasted a really long time, well worth the money!,La balle a duré très longtemps, bien vaut l'argent!,c623d53b.jpeg,0.6054,0.6505,0.3976,0.4662,0.2174
He took the lead.,Il a pris la tête.,b5c98a9e.jpeg,0.5954,0.6386,0.3737,0.4417,0.1951
He took the lead.,Il a pris la tête.,6f82a941.jpeg,0.6084,0.6386,0.493,0.5118,0.262
Have you got any coke?,Vous avez de la coke ?,264ae5e9.jpeg,0.5479,0.5733,0.4326,0.4695,0.2204
Have you got any coke?,Vous avez de la coke ?,115bec66.jpeg,0.5545,0.5733,0.4264,0.3833,0.147
This dog's muzzle is weird.,La muselière de ce chien est bizarre.,b7320652.jpeg,0.6845,0.7148,0.613,0.651,0.4237
This dog's muzzle is weird.,La muselière de ce chien est bizarre.,4fd8f02b.jpeg,0.6694,0.7148,0.5448,0.6039,0.3647
Can you not hear the roar?,Vous n'entendez pas le rugissement ?,450cdf0d.jpeg,0.5829,0.6268,0.415,0.511,0.2611
